scenario,system,seed,task_completion_rate,avg_latency,error_rate,recovery_time_after_failure,resource_efficiency,stability_score,total_arrived,total_completed,total_errors,total_resource_used,mean_reflex_actions,mean_immune_actions,mean_reserve_activations,mean_metabolic_rests,mean_demoted_false_signals,mean_nervous_fast_lane_share,mean_endocrine_throttle_ratio,mean_immune_replacement_ratio,mean_metabolic_recovery_gain
normal,baseline,42,0.7604790419161677,14.362204724409448,0.04868913857677903,7.5,0.4032504796895257,12.201763922467656,334,254,13,629.8814577866392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,42,0.9850299401197605,2.0106382978723403,0.0030303030303030303,4.166666666666667,0.46913880210899894,18.82824584831974,334,329,1,701.2849896895987,0.007142857142857143,0.0,0.014285714285714285,0.0,0.05714285714285714,0.12220238095238097,0.0,0.014285714285714285,0.41604514578477514
normal,baseline,59,0.7270029673590505,12.49795918367347,0.04296875,7.285714285714286,0.3809632509237167,10.880543596107923,337,245,11,643.1066498040209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,59,0.8991097922848664,3.2805280528052805,0.0,5.142857142857143,0.4773381822715476,15.168638704627243,337,303,0,634.770088070662,0.45714285714285713,0.0,0.04285714285714286,0.2571428571428571,0.05,0.14440476190476192,0.0,0.04285714285714286,0.3932901239602235
normal,baseline,76,0.6074498567335244,18.639150943396228,0.09787234042553192,7.3125,0.3390501196285094,9.961870024071496,349,212,23,625.2762872706969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,76,0.9828080229226361,2.055393586005831,0.0,3.5,0.4605119694531576,18.047737487585067,349,343,0,744.8232027656109,0.0,0.0,0.014285714285714285,0.007142857142857143,0.04285714285714286,0.1063095238095238,0.0,0.014285714285714285,0.4468881193654908
normal,baseline,93,0.7070422535211267,18.43426294820717,0.06343283582089553,8.428571428571429,0.37876786031142173,10.63581456637687,355,251,17,662.6750215649992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,93,0.9014084507042254,4.6890625,0.009287925696594427,2.2857142857142856,0.4795983088512335,14.441797782878762,355,320,3,667.2250383169319,0.5785714285714286,0.007142857142857143,0.07857142857142857,0.32857142857142857,0.007142857142857143,0.14916666666666667,0.0,0.07857142857142857,0.4228194152478647
normal,baseline,110,0.7267441860465116,14.278,0.04580152671755725,7.0,0.379297147075602,10.794203866700396,344,250,12,659.1138423463271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,110,0.9534883720930233,2.7515243902439024,0.0,3.6,0.48465651200273835,18.348928265979637,344,328,0,676.7679622102071,0.2,0.0,0.03571428571428571,0.22142857142857142,0.03571428571428571,0.1726190476190476,0.0,0.03571428571428571,0.41542917072554875
overload,baseline,143,0.2342606149341142,46.7875,0.16666666666666666,7.8,0.26928691086459433,4.319615725851101,683,160,32,594.1618160581629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overload,bio,143,0.47291361639824303,11.126934984520124,0.01524390243902439,5.866666666666666,0.46316657100092357,6.1765657414327375,683,323,5,697.3732998518926,0.5785714285714286,0.10714285714285714,0.07857142857142857,0.17857142857142858,0.08571428571428572,0.20625566893424038,0.0,0.075,0.45172002266449685
overload,baseline,160,0.26656626506024095,53.293785310734464,0.14903846153846154,10.0,0.2912475465646487,4.788497114143888,664,177,31,607.730441295618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overload,bio,160,0.5225903614457831,4.54178674351585,0.0057306590257879654,8.5,0.4972310831159439,8.284590656705486,664,347,2,697.8646584712542,0.6357142857142857,0.05714285714285714,0.07857142857142857,0.30714285714285716,0.1357142857142857,0.16874433106575962,0.0,0.07857142857142857,0.45479645960593545
overload,baseline,177,0.2795031055900621,47.56666666666667,0.10891089108910891,10.0,0.302228154517856,4.827448413243489,644,180,22,595.5765447701378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overload,bio,177,0.5357142857142857,5.033333333333333,0.017094017094017096,8.214285714285714,0.48025601176890986,7.644954069517291,644,345,6,718.3668533981986,0.5357142857142857,0.09285714285714286,0.11428571428571428,0.16428571428571428,0.17142857142857143,0.17035430839002266,0.0,0.11428571428571428,0.46363939199020754
overload,baseline,194,0.24635568513119532,47.25443786982248,0.1875,10.0,0.27225213228470796,4.338619167760658,686,169,39,620.7481226382758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overload,bio,194,0.5174927113702624,8.990140845070423,0.0056022408963585435,8.142857142857142,0.45613132113984556,6.719618367449101,686,355,2,778.2846376628461,0.4928571428571429,0.15,0.1,0.15714285714285714,0.21428571428571427,0.18983560090702947,0.0,0.1,0.4830903683566849
overload,baseline,211,0.25925925925925924,46.205357142857146,0.19230769230769232,7.857142857142857,0.27888732641853164,4.647215522349359,648,168,40,602.3938131483219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overload,bio,211,0.5108024691358025,8.253776435045317,0.020710059171597635,8.285714285714286,0.47112641814088885,7.002382238010971,648,331,7,702.57151213502,0.5357142857142857,0.06428571428571428,0.10714285714285714,0.16428571428571428,0.14285714285714285,0.19899788703360133,0.0,0.10714285714285714,0.4474192976185637
failure_storm,baseline,244,0.37473684210526315,34.26966292134831,0.11442786069651742,7.892857142857143,0.3035871434892329,6.195447839107569,475,178,23,586.3225891392631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failure_storm,bio,244,0.7642105263157895,4.461432506887053,0.00819672131147541,5.75,0.4773418102454403,10.580355527276152,475,363,3,760.4613553825342,0.45,0.02142857142857143,0.04285714285714286,0.20714285714285716,0.11428571428571428,0.14923469387755103,0.0,0.04285714285714286,0.45123500009346007
failure_storm,baseline,261,0.42080378250591016,34.19662921348315,0.1188118811881188,8.085714285714285,0.3174555700912245,6.8170275713843385,423,178,24,560.7083849524192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failure_storm,bio,261,0.8321513002364066,5.619318181818182,0.0,5.514285714285714,0.47877571049513606,11.195917027809044,423,352,0,735.2085585878442,0.55,0.007142857142857143,0.014285714285714285,0.2357142857142857,0.05,0.1550170068027211,0.0,0.014285714285714285,0.4320538055598365
failure_storm,baseline,278,0.3682008368200837,42.42897727272727,0.15384615384615385,8.085714285714285,0.30683779341554585,6.499256129853307,478,176,32,573.5929659800604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failure_storm,bio,278,0.7740585774058577,5.140540540540541,0.005376344086021506,6.914285714285715,0.48002975021893773,11.067852324759476,478,370,2,770.7855603350541,0.45,0.02142857142857143,0.02857142857142857,0.17857142857142858,0.11428571428571428,0.1541581632653061,0.0,0.02857142857142857,0.4596033093773144
failure_storm,baseline,295,0.3926247288503254,35.78729281767956,0.16203703703703703,7.76,0.30225719234180226,6.559304161626029,461,181,35,598.8277684896884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failure_storm,bio,295,0.8199566160520607,5.4603174603174605,0.002638522427440633,4.8,0.4922292696280462,11.236851158279237,461,378,1,767.9348289987637,0.5214285714285715,0.02142857142857143,0.04285714285714286,0.15714285714285714,0.02857142857142857,0.14977891156462583,0.0,0.04285714285714286,0.4527987264571036
failure_storm,baseline,312,0.34553775743707094,35.75496688741722,0.20526315789473684,8.357142857142858,0.2703727466323932,6.585988181425542,437,151,39,558.4882421796161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failure_storm,bio,312,0.8077803203661327,4.502832861189802,0.0,5.595238095238095,0.48128700072334196,11.97132289360851,437,353,0,733.4501024741262,0.4142857142857143,0.02142857142857143,0.05714285714285714,0.18571428571428572,0.05,0.1498979591836735,0.0,0.05357142857142857,0.4288968950349107
