scenario,system,seed,task_completion_rate,avg_latency,error_rate,recovery_time_after_failure,resource_efficiency,stability_score,total_arrived,total_completed,total_errors,total_resource_used,mean_reflex_actions,mean_immune_actions,mean_reserve_activations,mean_metabolic_rests,mean_demoted_false_signals,mean_nervous_fast_lane_share,mean_endocrine_throttle_ratio,mean_immune_replacement_ratio,mean_metabolic_recovery_gain
overload,full_bio,742,0.5171898355754858,4.6473988439306355,0.022598870056497175,8.636363636363637,0.4733512784061977,7.016593800500905,669,346,8,730.9582033136213,0.4857142857142857,0.1357142857142857,0.12142857142857143,0.2,0.1357142857142857,0.17578798185941044,0.0,0.12142857142857143,0.46943202364697273
overload,no_nervous,742,0.42152466367713004,10.141843971631205,0.03424657534246575,8.454545454545455,0.4499478946632089,5.61732230860755,669,282,10,626.73923657556,0.0,0.15714285714285714,0.08571428571428572,0.44285714285714284,0.1357142857142857,0.0,0.0,0.08571428571428572,0.4268782543674275
overload,no_endocrine,742,0.452914798206278,7.712871287128713,0.03503184713375796,8.363636363636363,0.4394055968903386,6.373732798036286,669,303,11,689.5679120710404,0.5642857142857143,0.25,0.15714285714285714,0.15714285714285714,0.1357142857142857,0.17578798185941044,0.0,0.15178571428571427,0.4612146020963898
overload,no_immune,742,0.34977578475336324,11.933760683760683,0.025,7.636363636363637,0.4937675601133264,5.149373550864896,669,234,6,473.9071962246645,0.45714285714285713,0.0,0.0,0.17142857142857143,0.1357142857142857,0.17578798185941044,0.0,0.0,0.3185035511550545
overload,no_metabolic,742,0.3901345291479821,15.076628352490422,0.02247191011235955,7.909090909090909,0.48356279012754105,5.260930685810905,669,261,6,539.7437630202285,0.8642857142857143,0.12857142857142856,0.3,0.0,0.1357142857142857,0.17578798185941044,0.0,0.29285714285714287,0.22293336364225091
overload,full_bio,771,0.4903129657228018,9.209726443768997,0.02373887240356083,6.7272727272727275,0.46417957173302876,6.491260058515736,671,329,8,708.7774215734405,0.5785714285714286,0.15,0.14285714285714285,0.2,0.17857142857142858,0.15673382173382175,0.0,0.13809523809523808,0.4556051064542907
overload,no_nervous,771,0.38152011922503726,11.744140625,0.058823529411764705,8.454545454545455,0.4397107170524585,5.281227182792737,671,256,16,582.2009563834638,0.0,0.2,0.11428571428571428,0.5357142857142857,0.17857142857142858,0.0,0.0,0.10714285714285714,0.4039023110500681
overload,no_endocrine,771,0.4485842026825633,10.335548172757475,0.03215434083601286,9.181818181818182,0.44241154876966243,5.932207989118342,671,301,10,680.3619861124216,0.5857142857142857,0.21428571428571427,0.12857142857142856,0.19285714285714287,0.17857142857142858,0.15673382173382175,0.0,0.11785714285714285,0.4472741425141076
overload,no_immune,771,0.3204172876304024,9.523255813953488,0.022727272727272728,8.545454545454545,0.460292736055057,5.0216791205739355,671,215,5,467.09405375948234,0.4642857142857143,0.0,0.0,0.25,0.17857142857142858,0.15673382173382175,0.0,0.0,0.3233869158220509
overload,no_metabolic,771,0.3710879284649776,11.244979919678714,0.02734375,6.7272727272727275,0.46490869645991506,5.24669503837827,671,249,7,535.5890347847452,1.0142857142857142,0.12142857142857143,0.30714285714285716,0.0,0.17857142857142858,0.15673382173382175,0.0014285714285714284,0.30357142857142855,0.21703457537458926
overload,full_bio,800,0.545727136431784,4.684065934065934,0.016216216216216217,8.4375,0.46576306958500757,7.3158431746188475,667,364,6,781.5132280116628,0.5142857142857142,0.1,0.12142857142857143,0.22142857142857142,0.17857142857142858,0.15252886002886004,0.0,0.12142857142857143,0.4784134356430833
overload,no_nervous,800,0.5082458770614693,6.166666666666667,0.0,8.375,0.4863611162275633,6.783616734738488,667,339,0,697.0129574284994,0.0,0.05,0.1,0.5428571428571428,0.17857142857142858,0.0,0.0,0.1,0.44420126618720207
overload,no_endocrine,800,0.5082458770614693,5.825958702064897,0.017391304347826087,7.8125,0.45535349271739906,6.84827806661217,667,339,6,744.4765559542766,0.5571428571428572,0.12142857142857143,0.1357142857142857,0.19285714285714287,0.17857142857142858,0.15252886002886004,0.0,0.13214285714285715,0.4648880405705157
overload,no_immune,800,0.31334332833583206,15.342105263157896,0.05,8.5,0.4204886067495233,4.961719410231094,667,209,11,497.0408154827775,0.4,0.0,0.0,0.2357142857142857,0.17857142857142858,0.15252886002886004,0.0,0.0,0.3293190390423716
overload,no_metabolic,800,0.37031484257871067,14.3582995951417,0.03515625,8.875,0.4439789128231852,5.354026775565549,667,247,9,556.3327285734579,0.8785714285714286,0.1357142857142857,0.2785714285714286,0.0,0.17857142857142858,0.15252886002886004,0.0,0.2714285714285714,0.2330481874017546
failure_storm,full_bio,759,0.720620842572062,5.132307692307692,0.0121580547112462,7.565217391304348,0.46842266503532226,11.43723863862337,451,325,4,693.8178364522408,0.5857142857142857,0.014285714285714285,0.02857142857142857,0.22857142857142856,0.14285714285714285,0.1437046485260771,0.0,0.02857142857142857,0.4391583887082707
failure_storm,no_nervous,759,0.6740576496674058,6.302631578947368,0.016181229773462782,8.478260869565217,0.48074420827714703,9.307690007630256,451,304,5,632.3529119351247,0.0,0.02857142857142857,0.05,0.5642857142857143,0.14285714285714285,0.0,0.0,0.04642857142857143,0.40655686506689787
failure_storm,no_endocrine,759,0.753880266075388,5.0,0.005847953216374269,7.086956521739131,0.4890430586085114,10.440903263039832,451,340,2,695.2353049799174,0.6214285714285714,0.04285714285714286,0.05,0.2357142857142857,0.14285714285714285,0.1437046485260771,0.0,0.05,0.4393956694021635
failure_storm,no_immune,759,0.5476718403547672,4.540485829959514,0.008032128514056224,7.6521739130434785,0.46635669830205095,9.543382983489016,451,247,2,529.6375090125166,0.4,0.0,0.0,0.2,0.14285714285714285,0.1437046485260771,0.0,0.0,0.32698249922729666
failure_storm,no_metabolic,759,0.532150776053215,5.56875,0.02040816326530612,7.913043478260869,0.4556575776415612,8.903600702071378,451,240,5,526.7113108097892,0.8714285714285714,0.07142857142857142,0.30714285714285716,0.0,0.14285714285714285,0.1437046485260771,0.0,0.30714285714285716,0.22198445242782947
failure_storm,full_bio,788,0.8254716981132075,4.277142857142858,0.002849002849002849,5.571428571428571,0.4674586805223914,11.793342676060684,424,350,1,748.7292772248239,0.4857142857142857,0.007142857142857143,0.02857142857142857,0.17857142857142858,0.12142857142857143,0.16325963718820863,0.0,0.02857142857142857,0.44890099474883
failure_storm,no_nervous,788,0.8207547169811321,5.086206896551724,0.0,5.071428571428571,0.4941755768382125,11.79565673281736,424,348,0,704.2031543253123,0.0,0.02142857142857143,0.06428571428571428,0.32857142857142857,0.12142857142857143,0.0,0.0,0.06428571428571428,0.41882009157312244
failure_storm,no_endocrine,788,0.8089622641509434,4.326530612244898,0.005797101449275362,7.035714285714286,0.48019894959244663,10.568250500470684,424,343,2,714.2872767445872,0.5142857142857142,0.014285714285714285,0.06428571428571428,0.15714285714285714,0.12142857142857143,0.16325963718820863,0.0,0.06428571428571428,0.4374840556985974
failure_storm,no_immune,788,0.7051886792452831,6.476588628762542,0.013201320132013201,7.571428571428571,0.49316397902890585,9.254963152763432,424,299,4,606.2892115291224,0.17142857142857143,0.0,0.0,0.10714285714285714,0.12142857142857143,0.16325963718820863,0.0,0.0,0.3470971132410729
failure_storm,no_metabolic,788,0.6297169811320755,5.086142322097379,0.02197802197802198,7.892857142857143,0.4912504691031847,9.742384970621153,424,267,6,543.5109313736207,0.8357142857142857,0.07857142857142857,0.21428571428571427,0.0,0.12142857142857143,0.16325963718820863,0.0014285714285714284,0.21428571428571427,0.2317579172642052
failure_storm,full_bio,817,0.8159090909090909,3.6072423398328692,0.00554016620498615,6.487804878048781,0.47872657075652814,11.604105040279828,440,359,2,749.9061508799791,0.3357142857142857,0.02142857142857143,0.02857142857142857,0.11428571428571428,0.1,0.1332936507936508,0.0,0.02857142857142857,0.4299358281065467
failure_storm,no_nervous,817,0.7477272727272727,3.6580547112462005,0.009036144578313253,5.878048780487805,0.4776944716928241,11.100707040029487,440,329,3,688.7247382916327,0.0,0.02857142857142857,0.03571428571428571,0.3,0.1,0.0,0.0,0.03571428571428571,0.4054556906859521
failure_storm,no_endocrine,817,0.8022727272727272,3.8413597733711047,0.002824858757062147,5.951219512195122,0.5036034015936541,12.27940764521898,440,353,1,700.9484028164438,0.37142857142857144,0.007142857142857143,0.02857142857142857,0.18571428571428572,0.1,0.1332936507936508,0.0,0.02857142857142857,0.4232282072720452
failure_storm,no_immune,817,0.6386363636363637,4.402135231316726,0.0035460992907801418,8.097560975609756,0.48318728185293486,9.790824550383268,440,281,1,581.5550420168685,0.17142857142857143,0.0,0.0,0.05714285714285714,0.1,0.1332936507936508,0.0,0.0,0.3256161116875918
