scenario,system,step,arrived_tasks,completed_tasks,failed_tasks,pending_tasks,avg_latency_step,error_rate_step,resource_used_step,active_workers,mean_health,mean_energy,mean_reliability,stress_level,risk_level,resource_budget,isolated_agents,recovery_pool,reflex_actions,immune_actions,reserve_activations,metabolic_rests,demoted_false_signals,nervous_fast_lane_share,endocrine_throttle_ratio,immune_replacement_ratio,metabolic_recovery_gain,corrected_by_review,disturbance_type,disturbance_severity,cumulative_arrived,cumulative_completed,cumulative_failed,cumulative_resource,seed
normal,baseline,0,1,0,0,1,,0.0,0.7626989974005028,4,0.9524459305853317,1.0,0.8742690240589253,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,agent_failure,0.4328028608767108,1,0,0,0.7626989974005028,42
normal,bio,0,1,0,0,1,,0.0,1.0212672125870057,5,0.9814809689057503,0.983156106561775,0.8933850308189236,0.2916084578441715,0.2880097590509671,0.9713766079581809,0,1,0,0,1,0,0,0.0,0.0,1.0,0.050000000000000044,0,agent_failure,0.4328028608767108,1,0,0,1.0212672125870057,42
normal,baseline,1,4,1,0,4,1.0,0.0,3.7771357983392932,4,0.9588459305853316,1.0,0.8762690240589253,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,5,1,0,4.539834795739796,42
normal,bio,1,4,1,0,4,1.0,0.0,6.152066432239899,6,0.9891370699703972,0.9236486206158995,0.8927955245282008,0.21256296024546,0.18530341566783848,1.04,0,1,0,0,1,0,0,0.25,0.0,1.0,0.1542070265526425,0,none,0.0,5,1,0,7.173333644826904,42
normal,baseline,2,2,2,0,4,2.0,0.0,3.5471357983392933,4,0.9664459305853317,1.0,0.8802690240589252,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,7,3,0,8.086970594079089,42
normal,bio,2,2,2,0,4,2.0,0.0,6.62757537516571,6,0.9905656413989686,0.8734516536504302,0.8969566671338579,0.16864703608591097,0.13852286215041015,1.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.24,0,none,0.0,7,3,0,13.800909019992615,42
normal,baseline,3,4,0,0,8,,0.0,3.574407942168339,4,0.9552387654497092,1.0,0.8670636502072083,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,agent_failure,0.7336318806509372,11,3,0,11.661378536247428,42
normal,bio,3,4,5,0,3,2.4,0.0,6.315347050951094,6,0.9911319520163812,0.894116875789844,0.9012385429540603,0.2796937277781694,0.2559324102568622,0.9280073229367095,0,1,0,0,0,0,0,0.25,0.0,0.0,0.5806865497899198,0,agent_failure,0.7336318806509372,11,8,0,20.11625607094371,42
normal,baseline,4,2,3,0,7,3.6666666666666665,0.0,2.7544079421683394,3,0.9495688547600121,1.0,0.8598767373307542,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,agent_failure,0.7326062709141206,13,6,0,14.415786478415768,42
normal,bio,4,2,2,0,3,1.5,0.0,5.338679072261043,5,0.9940066767547265,0.8859834538451222,0.9072478908994501,0.2860479369072733,0.27534508585454615,0.9280188097657619,0,2,0,0,0,0,0,0.0,0.0,0.0,0.33999999999999997,0,agent_failure,0.7326062709141206,13,10,0,25.454935143204754,42
normal,baseline,5,1,0,0,8,,0.0,2.8255557296232023,3,0.9603688547600122,1.0,0.8598767373307542,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,14,6,0,17.241342208038972,42
normal,bio,5,1,4,0,0,2.25,0.0,4.496848091709321,5,1.0,0.9327666699649706,0.9246764623280214,0.14561677791754563,0.13753744671575782,1.0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.6,0,none,0.0,14,14,0,29.951783234914075,42
normal,baseline,6,2,3,0,7,4.833333333333333,0.0,2.3779241020686457,3,0.9723688547600122,1.0,0.8578767373307542,0.0,0.0,0.5776510059164226,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,resource_drop,0.5558724852089434,16,9,0,19.61926631010762,42
normal,bio,6,2,1,0,1,1.0,0.0,1.9049696894515293,5,1.0,0.9678776611740424,0.9381050337565929,0.11557911213784998,0.11663628910270085,0.9577651005916422,0,2,0,0,0,0,0,0.5,0.0,0.0,0.42102542293607903,0,resource_drop,0.5558724852089434,16,15,0,31.856752924365605,42
normal,baseline,7,3,0,0,10,,0.0,4.891844273800061,5,0.9783688547600121,1.0,0.8578767373307542,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,19,9,0,24.51111058390768,42
normal,bio,7,3,2,0,2,1.5,0.0,4.982778404455849,7,1.0,0.9551466836221881,0.9401050337565929,0.08130983210539033,0.07889412975737387,1.04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.32002207735981136,0,none,0.0,19,17,0,36.83953132882145,42
normal,baseline,8,4,4,0,10,5.375,0.0,4.24184427380006,4,0.9698681479867085,1.0,0.8440012072507764,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,agent_failure,0.7708627822209886,23,13,0,28.752954857707742,42
normal,bio,8,4,2,0,4,2.0,0.0,6.674520831774909,6,0.9953566380190688,0.9143287793440728,0.937976417085683,0.2130036479505609,0.2111955557257307,0.967590336839125,0,1,0,0,0,0,0,0.0,0.0,0.0,0.24,0,agent_failure,0.7708627822209886,23,19,0,43.51405216059636,42
normal,baseline,9,2,1,0,11,6.0,0.0,2.5990369472833303,4,0.9807162737985134,1.0,0.8460012072507764,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,overload,0.770928056672542,25,14,0,31.351991804991073,42
normal,bio,9,2,2,0,4,2.0,0.0,4.4492589687692705,6,1.0,0.879691215281435,0.9449217097992603,0.13300387147521972,0.13596791273896863,1.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.24,0,overload,0.770928056672542,25,21,0,47.96331112936563,42
normal,baseline,10,3,2,0,12,4.5,0.0,5.323581368992568,5,0.9847162737985136,1.0,0.8420012072507763,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,false_signal,0.6714487051284577,28,16,0,36.67557317398364,42
normal,bio,10,3,3,0,4,2.3333333333333335,0.0,7.785357045766023,7,1.0,0.8340815220973921,0.9472806392059571,0.0885492979253287,0.0910479343536411,1.0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.36,0,false_signal,0.6714487051284577,28,24,0,55.748668175131655,42
normal,baseline,11,1,3,0,10,5.333333333333333,0.0,4.743581368992568,5,0.9911162737985135,1.0,0.8480012072507763,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,29,19,0,41.41915454297621,42
normal,bio,11,1,5,0,0,2.2,0.0,5.750573008961288,7,1.0,0.89157742917624,0.9512806392059571,0.06349225427386504,0.06436677702377439,1.0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.84,0,none,0.0,29,29,0,61.499241184092945,42
normal,baseline,12,1,1,0,10,5.0,0.0,4.615581368992567,5,0.9951162737985136,1.0,0.8500012072507765,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,30,20,0,46.034735911968774,42
normal,bio,12,1,0,0,1,,0.0,1.123401340649635,7,1.0,0.9591177726628218,0.9512806392059571,0.054722288995852755,0.05502837195832103,1.04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5789524714385544,0,none,0.0,30,29,0,62.62264252474258,42
normal,baseline,13,1,1,0,10,6.0,0.0,3.6257631391913265,5,0.9958992932266962,1.0,0.8440012072507764,0.0,0.0,0.5631244089059928,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,resource_drop,0.5921889777350179,31,21,0,49.6604990511601,42
normal,bio,13,1,1,0,1,1.0,0.0,1.8556748443424094,7,1.0,0.9673854940935158,0.9512806392059571,0.08324657261281011,0.0878184485416117,0.9963124408905993,0,0,0,0,0,0,0,1.0,0.0,0.0,0.2306577922319788,0,resource_drop,0.5921889777350179,31,30,0,64.47831736908499,42
normal,baseline,14,3,1,0,12,6.0,0.0,2.8628932756818153,5,0.9978992932266962,1.0,0.8460012072507764,0.0,0.0,0.4168671879877197,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,resource_drop,0.9578320300307006,34,22,0,52.523392326841915,42
normal,bio,14,3,1,0,3,1.0,0.0,3.1429647002095082,7,1.0,0.9308692854870804,0.9512806392059571,0.11382151179270915,0.11711682909264494,0.981686718798772,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.08153477476542703,0,resource_drop,0.9578320300307006,34,31,0,67.6212820692945,42
normal,baseline,15,0,3,0,9,7.666666666666667,0.0,4.4694964661334815,5,1.0,1.0,0.8520012072507764,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,34,25,0,56.99288879297539,42
normal,bio,15,0,3,0,0,2.6666666666666665,0.0,3.4009022539686624,7,1.0,0.94514855510159,0.9512806392059571,0.08533752912744819,0.0821575568490924,1.04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.36,0,none,0.0,34,34,0,71.02218432326316,42
normal,baseline,16,2,3,0,8,6.833333333333333,0.0,5.0600000000000005,5,1.0,1.0,0.8500012072507763,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,none,0.0,36,28,0,62.052888792975395,42
normal,bio,16,2,1,0,1,1.0,0.0,2.5257266819527846,7,1.0,0.9630825584789839,0.953280639205957,0.07130563519460684,0.06721347823051567,1.04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3318243577393972,0,none,0.0,36,35,0,73.54791100521595,42
normal,baseline,17,2,2,0,8,6.25,0.0,5.27,5,1.0,1.0,0.8460012072507764,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,none,0.0,38,30,0,67.32288879297539,42
