scenario,system,seed,task_completion_rate,avg_latency,error_rate,recovery_time_after_failure,resource_efficiency,stability_score,total_arrived,total_completed,total_errors,total_resource_used,mean_reflex_actions,mean_immune_actions,mean_reserve_activations,mean_metabolic_rests,mean_demoted_false_signals,mean_nervous_fast_lane_share,mean_endocrine_throttle_ratio,mean_immune_replacement_ratio,mean_metabolic_recovery_gain
overload,full_bio,742,0.6703296703296703,2.639344262295082,0.016129032258064516,10.0,0.49079153511641654,20.86628256382503,91,61,1,124.28902219255005,0.15,0.1,0.1,0.0,0.35,0.1301190476190476,0.0,0.1,0.42246242036229065
overload,no_nervous,742,0.6593406593406593,2.5083333333333333,0.0,10.0,0.513956617252121,19.453381740651285,91,60,0,116.74137074212831,0.0,0.0,0.1,0.0,0.35,0.0,0.0,0.1,0.3911477805719925
overload,no_endocrine,742,0.6593406593406593,2.65,0.0,10.0,0.5101429660582101,21.79778931419975,91,60,0,117.61408858306922,0.3,0.0,0.1,0.0,0.35,0.1301190476190476,0.0,0.1,0.4254609229200967
overload,no_immune,742,0.5714285714285714,2.7884615384615383,0.0,10.0,0.5342492670124622,19.85926292722695,91,52,0,97.33284294573869,0.0,0.0,0.0,0.0,0.35,0.1301190476190476,0.0,0.0,0.334524858085382
overload,no_metabolic,742,0.5714285714285714,2.730769230769231,0.0,10.0,0.5488237597435563,22.931912670000276,91,52,0,94.74808456597715,0.55,0.0,0.2,0.0,0.35,0.1301190476190476,0.0,0.2,0.16803354549575614
overload,full_bio,771,0.6808510638297872,2.65625,0.0,10.0,0.5016695177064032,31.41735195972574,94,64,0,127.5740258100659,0.15,0.0,0.1,0.0,0.0,0.15166666666666667,0.0,0.1,0.4209919173776223
overload,no_nervous,771,0.6382978723404256,3.0166666666666666,0.0,10.0,0.5000019289603248,26.240938038100982,94,60,0,119.99953705130805,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.1,0.3821885547932652
overload,no_endocrine,771,0.6276595744680851,2.6271186440677967,0.016666666666666666,10.0,0.4927571949395729,28.36885064228623,94,59,1,119.73442621621224,0.15,0.0,0.1,0.0,0.0,0.15166666666666667,0.0,0.1,0.40606131236312787
overload,no_immune,771,0.5319148936170213,3.32,0.0,10.0,0.5279046950054571,26.950697577035957,94,50,0,94.71406576424393,0.1,0.0,0.0,0.0,0.0,0.15166666666666667,0.0,0.0,0.3223523655584078
overload,no_metabolic,771,0.5638297872340425,2.7358490566037736,0.0,10.0,0.5321106345811791,28.560489361818906,94,53,0,99.60334666439425,0.55,0.0,0.25,0.0,0.0,0.15166666666666667,0.0,0.25,0.17500000000000002
overload,full_bio,800,0.63,2.5238095238095237,0.0,8.0,0.4993972444976488,22.24860211525857,100,63,0,126.15207771795508,0.05,0.0,0.1,0.0,0.0,0.15990079365079365,0.0,0.1,0.4079464846484944
overload,no_nervous,800,0.59,2.652542372881356,0.0,7.75,0.48414910147757517,18.58694253745838,100,59,0,121.8632851324888,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3998341984611628
overload,no_endocrine,800,0.6,2.4833333333333334,0.0,7.75,0.4815465373602273,21.250361635632117,100,60,0,124.59854935083087,0.05,0.0,0.1,0.0,0.0,0.15990079365079365,0.0,0.1,0.4148919915557087
overload,no_immune,800,0.42,2.892857142857143,0.0,10.0,0.45332646446921193,18.202048644510057,100,42,0,92.64846262434006,0.05,0.0,0.0,0.0,0.0,0.15990079365079365,0.0,0.0,0.30208241374885453
overload,no_metabolic,800,0.52,2.625,0.0,10.0,0.5071594913207927,20.45715196549083,100,52,0,102.53184824477341,0.45,0.0,0.15,0.0,0.0,0.15990079365079365,0.0,0.15,0.21412214186184925
failure_storm,full_bio,759,0.7627118644067796,2.8444444444444446,0.0,7.75,0.399220365949763,23.36667555470784,59,45,0,112.71970029119882,0.25,0.0,0.1,0.0,0.25,0.1736111111111111,0.0,0.1,0.3772317147356062
failure_storm,no_nervous,759,0.7796610169491526,2.891304347826087,0.0,7.75,0.41391468372552265,23.630947784073776,59,46,0,111.134013381617,0.0,0.0,0.1,0.05,0.25,0.0,0.0,0.1,0.35053211199720435
failure_storm,no_endocrine,759,0.7627118644067796,2.977777777777778,0.0,7.75,0.4025717164566713,21.36574043218418,59,45,0,111.781325315345,0.35,0.0,0.1,0.0,0.25,0.1736111111111111,0.0,0.1,0.3683481681315346
failure_storm,no_immune,759,0.6271186440677966,3.1621621621621623,0.0,8.75,0.4351853271423802,20.082113139403205,59,37,0,85.0212488618548,0.15,0.0,0.0,0.05,0.25,0.1736111111111111,0.0,0.0,0.2878986193005801
failure_storm,no_metabolic,759,0.6779661016949152,3.1125,0.0,7.75,0.4426081502572927,21.361305966495202,59,40,0,90.37339230366089,0.45,0.0,0.15,0.0,0.25,0.1736111111111111,0.0,0.15,0.18047198908806497
failure_storm,full_bio,788,0.9056603773584906,2.5416666666666665,0.0,5.8,0.438645447012441,28.284724766707107,53,48,0,109.4277857593689,0.0,0.0,0.1,0.0,0.05,0.125,0.0,0.1,0.3712402644881994
failure_storm,no_nervous,788,0.9056603773584906,2.8125,0.0,4.4,0.43952494884108995,18.88921881261188,53,48,0,109.20881767135904,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.1,0.3744323223913303
failure_storm,no_endocrine,788,0.8679245283018868,2.782608695652174,0.0,9.2,0.4207819218891669,25.659922159804943,53,46,0,109.32028589411763,0.0,0.0,0.1,0.05,0.05,0.125,0.0,0.1,0.3375229728307533
failure_storm,no_immune,788,0.7924528301886793,2.642857142857143,0.0,7.0,0.4770541596797097,24.105989200059803,53,42,0,88.04031816470997,0.1,0.0,0.0,0.0,0.05,0.125,0.0,0.0,0.30484930579930125
failure_storm,no_metabolic,788,0.8113207547169812,2.86046511627907,0.0,8.8,0.4588749368108829,21.94972325894694,53,43,0,93.70744956968892,0.05,0.0,0.15,0.0,0.05,0.125,0.0,0.15,0.18558856991455724
failure_storm,full_bio,817,0.9148936170212766,1.9069767441860466,0.0,1.8333333333333333,0.4534052427536827,21.271170899250013,47,43,0,94.83789763622167,0.0,0.0,0.1,0.0,0.15,0.16666666666666669,0.0,0.1,0.3448451764867701
failure_storm,no_nervous,817,0.9148936170212766,1.8953488372093024,0.0,1.8333333333333333,0.46639978138140653,22.641346541642346,47,43,0,92.19558352416122,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.1,0.34967308494048754
failure_storm,no_endocrine,817,0.8936170212765957,1.9285714285714286,0.023255813953488372,2.3333333333333335,0.4420747295197364,21.047935051395676,47,42,1,95.00656155041523,0.0,0.0,0.1,0.0,0.15,0.16666666666666669,0.0,0.1,0.35794456070155556
failure_storm,no_immune,817,0.851063829787234,3.0,0.0,6.5,0.4758543580619579,22.09240271240364,47,40,0,84.05933311803747,0.0,0.0,0.0,0.0,0.15,0.16666666666666669,0.0,0.0,0.2645257652237573
