scenario,system,step,arrived_tasks,completed_tasks,failed_tasks,pending_tasks,avg_latency_step,error_rate_step,resource_used_step,active_workers,mean_health,mean_energy,mean_reliability,stress_level,risk_level,resource_budget,isolated_agents,recovery_pool,reflex_actions,immune_actions,reserve_activations,metabolic_rests,demoted_false_signals,nervous_fast_lane_share,endocrine_throttle_ratio,immune_replacement_ratio,metabolic_recovery_gain,corrected_by_review,disturbance_type,disturbance_severity,cumulative_arrived,cumulative_completed,cumulative_failed,cumulative_resource,seed
failure_storm,baseline,0,3,0,0,3,,0.0,2.8473537832816236,5,0.9655218664533404,1.0,0.9144374750476782,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,3,0,0,2.8473537832816236,244
failure_storm,bio,0,3,0,0,3,,0.0,3.687151879041572,5,0.9758049728333619,0.9331284812095844,0.9082904198450878,0.15249999999999997,0.14750000000000002,1.04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,3,0,0,3.687151879041572,244
failure_storm,baseline,1,3,3,0,3,2.1666666666666665,0.0,5.048663122334551,5,0.9707218664533404,1.0,0.9124374750476782,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,none,0.0,6,3,0,7.896016905616174,244
failure_storm,bio,1,3,4,0,2,1.75,0.0,5.9554763834465,5,0.9913981424150105,0.9296689584006884,0.919490419845088,0.16387499999999997,0.136125,1.04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.45047620512784625,0,none,0.0,6,4,0,9.642628262488072,244
failure_storm,baseline,2,7,3,0,7,1.6666666666666667,0.0,4.758346060011214,5,0.9787655248303775,1.0,0.9184374750476783,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,13,6,0,12.654362965627389,244
failure_storm,bio,2,7,3,0,6,1.3333333333333333,0.0,6.391143041835172,5,0.999938712629303,0.8973378328899175,0.9278904198450879,0.12133482142857141,0.09964375,1.0421428571428573,0,0,0,0,0,0,0,0.14285714285714285,0.0,0.0,0.34790152453790335,0,none,0.0,13,7,0,16.033771304323245,244
failure_storm,baseline,3,5,3,0,9,2.3333333333333335,0.0,4.569805261577039,5,0.9839655248303775,1.0,0.9244374750476784,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,18,9,0,17.224168227204427,244
failure_storm,bio,3,5,5,0,6,1.5,0.0,7.059254518847644,5,1.0,0.9075037876524256,0.933890419845088,0.10574933035714283,0.08145864583333334,1.0092857142857143,0,0,0,0,0,0,0,0.6,0.0,0.0,0.5862924997549221,1,none,0.0,18,12,0,23.09302582317089,244
failure_storm,baseline,4,3,1,0,11,3.0,0.0,3.6758052615770387,4,0.9686167053212849,1.0,0.9116258604158588,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,agent_failure,0.8228674795455241,21,10,0,20.899973488781466,244
failure_storm,bio,4,3,0,0,9,,0.0,5.469307807676376,5,0.9935426504090895,0.8573422579797181,0.9128987722881767,0.2277673307651664,0.21009466713746308,0.930722169943376,0,1,0,0,1,0,0,0.0,0.0,1.0,0.09999999999999998,0,agent_failure,0.8228674795455241,21,12,0,28.562333630847267,244
failure_storm,baseline,5,3,3,0,11,3.6666666666666665,0.0,3.8058052615770386,4,0.9762167053212849,1.0,0.917625860415859,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,24,13,0,24.705778750358505,244
failure_storm,bio,5,3,5,0,7,2.7,0.0,7.133825707472457,6,1.0,0.87571966008694,0.9118792762969258,0.13773106576780825,0.11903313349811209,1.00578125,0,1,0,0,1,0,0,0.0,0.0,1.0,0.6,1,none,0.0,24,17,0,35.696159338319724,244
failure_storm,baseline,6,4,3,0,12,4.333333333333333,0.0,4.646297349381811,5,0.9866167053212849,1.0,0.9236258604158589,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,28,16,0,29.352076099740316,244
failure_storm,bio,6,4,2,0,9,2.25,0.0,8.442922439086615,7,1.0,0.7966773564994337,0.91016499058264,0.10672908730444716,0.08011993005767257,1.0164285714285715,0,0,0,0,0,0,0,0.0,0.0,0.0,0.21134999684178724,1,none,0.0,28,19,0,44.13908177740634,244
failure_storm,baseline,7,1,0,0,13,,0.0,4.055444167463132,5,0.9906167053212849,1.0,0.9156258604158589,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,overload,0.2,29,16,0,33.407520267203445,244
failure_storm,bio,7,1,5,0,5,3.8,0.0,6.284208837746479,7,1.0,0.8017901505155304,0.9185808686715086,0.1128671662708422,0.08809083266304255,1.01359375,0,0,0,0,0,0,0,1.0,0.0,0.0,0.6,0,overload,0.2,29,24,0,50.423290615152816,244
failure_storm,baseline,8,2,1,0,14,5.0,0.0,3.112556848725991,5,0.9906167053212849,1.0,0.9176258604158589,0.0,0.0,0.4578847208950696,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,resource_drop,0.8552881977623259,31,17,0,36.52007711592944,244
failure_storm,bio,8,2,1,0,6,2.0,0.0,4.697521860236041,7,1.0,0.738236422942416,0.9205808686715085,0.12657482088216407,0.10907603443672179,0.9581615189645071,0,0,0,0,0,0,0,0.0,0.0,0.0,0.12,0,resource_drop,0.8552881977623259,31,25,0,55.12081247538886,244
failure_storm,baseline,9,2,4,0,12,6.625,0.0,4.9450569168339324,5,0.9972093611296277,1.0,0.9176258604158589,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,none,0.0,33,21,0,41.46513403276337,244
failure_storm,bio,9,2,0,0,8,,0.0,6.897182000697593,7,1.0,0.6389708372231473,0.9205808686715085,0.09530587480875741,0.07189536205285263,1.01603515625,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,33,25,0,62.01799447608645,244
failure_storm,baseline,10,5,0,0,17,,0.0,4.6372559024545374,5,0.9994511804909074,1.0,0.9176258604158589,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,38,21,0,46.102389935217914,244
failure_storm,bio,10,5,5,0,8,5.6,0.0,6.569917630463868,7,1.0,0.6420428541484055,0.9285808686715084,0.10416643118306507,0.06700712671849843,1.023359375,0,0,0,0,0,0,0,0.4,0.0,0.0,0.6,0,none,0.0,38,30,0,68.58791210655032,244
failure_storm,baseline,11,3,4,0,16,7.0,0.0,3.774601142379016,5,1.0,1.0,0.9096258604158589,0.0,0.0,0.4782212141497516,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,resource_drop,0.8044469646256209,41,25,0,49.87699107759693,244
failure_storm,bio,11,3,2,0,9,5.0,0.0,5.078798790851763,7,1.0,0.5957657199280358,0.9305808686715082,0.13937274744902803,0.10237967785334592,0.9736229026649752,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.24,0,resource_drop,0.8044469646256209,41,32,0,73.66671089740208,244
