scenario,system,seed,task_completion_rate,avg_latency,error_rate,recovery_time_after_failure,resource_efficiency,stability_score,total_arrived,total_completed,total_errors,total_resource_used,mean_reflex_actions,mean_immune_actions,mean_reserve_activations,mean_metabolic_rests,mean_demoted_false_signals,mean_nervous_fast_lane_share,mean_endocrine_throttle_ratio,mean_immune_replacement_ratio,mean_metabolic_recovery_gain
normal,baseline,42,0.7604790419161677,14.362204724409448,0.04868913857677903,7.5,0.4032504796895257,12.201763922467656,334,254,13,629.8814577866392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,42,0.9850299401197605,2.0106382978723403,0.0030303030303030303,4.166666666666667,0.46913880210899894,18.82824584831974,334,329,1,701.2849896895987,0.007142857142857143,0.0,0.014285714285714285,0.0,0.05714285714285714,0.12220238095238097,0.0,0.014285714285714285,0.41604514578477514
normal,baseline,59,0.7270029673590505,12.49795918367347,0.04296875,7.285714285714286,0.3809632509237167,10.880543596107923,337,245,11,643.1066498040209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,59,0.8991097922848664,3.2805280528052805,0.0,5.142857142857143,0.4773381822715476,15.168638704627243,337,303,0,634.770088070662,0.45714285714285713,0.0,0.04285714285714286,0.2571428571428571,0.05,0.14440476190476192,0.0,0.04285714285714286,0.3932901239602235
normal,baseline,76,0.6074498567335244,18.639150943396228,0.09787234042553192,7.3125,0.3390501196285094,9.961870024071496,349,212,23,625.2762872706969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,76,0.9828080229226361,2.055393586005831,0.0,3.5,0.4605119694531576,18.047737487585067,349,343,0,744.8232027656109,0.0,0.0,0.014285714285714285,0.007142857142857143,0.04285714285714286,0.1063095238095238,0.0,0.014285714285714285,0.4468881193654908
normal,baseline,93,0.7070422535211267,18.43426294820717,0.06343283582089553,8.428571428571429,0.37876786031142173,10.63581456637687,355,251,17,662.6750215649992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,93,0.9014084507042254,4.6890625,0.009287925696594427,2.2857142857142856,0.4795983088512335,14.441797782878762,355,320,3,667.2250383169319,0.5785714285714286,0.007142857142857143,0.07857142857142857,0.32857142857142857,0.007142857142857143,0.14916666666666667,0.0,0.07857142857142857,0.4228194152478647
normal,baseline,110,0.7267441860465116,14.278,0.04580152671755725,7.0,0.379297147075602,10.794203866700396,344,250,12,659.1138423463271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,bio,110,0.9534883720930233,2.7515243902439024,0.0,3.6,0.48465651200273835,18.348928265979637,344,328,0,676.7679622102071,0.2,0.0,0.03571428571428571,0.22142857142857142,0.03571428571428571,0.1726190476190476,0.0,0.03571428571428571,0.41542917072554875
