scenario,system,step,arrived_tasks,completed_tasks,failed_tasks,pending_tasks,avg_latency_step,error_rate_step,resource_used_step,active_workers,mean_health,mean_energy,mean_reliability,stress_level,risk_level,resource_budget,isolated_agents,recovery_pool,reflex_actions,immune_actions,reserve_activations,metabolic_rests,demoted_false_signals,nervous_fast_lane_share,endocrine_throttle_ratio,immune_replacement_ratio,metabolic_recovery_gain,corrected_by_review,disturbance_type,disturbance_severity,cumulative_arrived,cumulative_completed,cumulative_failed,cumulative_resource,seed
overload,baseline,0,6,1,0,5,1.0,0.0,4.762802785519674,5,0.9512624876341016,1.0,0.910809279661464,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,6,1,0,4.762802785519674,143
overload,bio,0,6,3,0,3,1.0,0.0,6.511171653669999,5,0.9525563182958251,0.956830530702125,0.8942048195415376,0.15249999999999997,0.14750000000000002,1.04,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.0,0.29971123619412476,0,none,0.0,6,3,0,6.511171653669999,143
overload,baseline,1,2,3,0,4,2.1666666666666665,0.0,5.56239118466908,5,0.9612624876341016,1.0,0.9008092796614641,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,false_signal,1.0,8,4,0,10.325193970188753,143
overload,bio,1,2,4,0,1,1.75,0.0,6.248379110862034,5,0.9717563182958251,0.9623891270467846,0.8974048195415376,0.12591776595744678,0.11658351063829789,1.04,0,0,0,0,0,0,2,0.0,0.0,0.0,0.5427119372663999,0,false_signal,1.0,8,7,0,12.759550764532033,143
overload,baseline,2,4,1,0,7,3.0,0.0,3.157521951062498,5,0.9687572662123415,1.0,0.902809279661464,0.0,0.0,0.5257033209151911,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,resource_drop,0.6857416977120222,12,5,0,13.482715921251252,143
overload,bio,2,4,0,0,5,,0.0,4.3627154509249975,5,0.9801070922457574,0.8687619725375345,0.8974048195415376,0.12941759888234075,0.12457869429140794,0.9925703320915191,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0,resource_drop,0.6857416977120222,12,7,0,17.12226621545703,143
overload,baseline,3,2,3,0,6,3.5,0.0,4.782916657025805,5,0.9739572662123417,1.0,0.9008092796614641,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,none,0.0,14,8,0,18.265632578277057,143
overload,bio,3,2,3,0,4,2.3333333333333335,0.0,6.142794987165851,5,0.9839630638931093,0.8413340226658763,0.9058048195415378,0.1170727553535001,0.10228694016511333,1.04,0,0,0,0,0,0,0,0.5,0.0,0.0,0.36,0,none,0.0,14,10,0,23.26506120262288,143
overload,baseline,4,4,0,0,10,,0.0,4.450872082247571,5,0.9759572662123416,1.0,0.9008092796614641,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,none,0.0,18,8,0,22.716504660524627,143
overload,bio,4,4,1,0,7,2.0,0.0,5.818921589361508,5,0.9859630638931094,0.761144806772261,0.9059109840624844,0.10998610267159739,0.09264085458970456,1.04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.12,0,none,0.0,18,11,0,29.08398279198439,143
overload,baseline,5,4,0,0,14,,0.0,3.5664223369495174,5,0.9763572662123415,1.0,0.884809279661464,0.0,0.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,overload,0.7999379937837718,22,8,0,26.282926997474146,143
overload,bio,5,4,2,0,9,3.0,0.0,3.8254166904575144,5,0.9923623667572397,0.7463906398676858,0.9035109840624843,0.13803641739694117,0.12206685791265989,1.04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.36,0,overload,0.7999379937837718,22,13,0,32.909399482441906,143
